line_id,bias_code,elo,model,rank,move_uci,move_san,policy_probability,topk_policy_mass,normalized_response_entropy_topk,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,fen,status
ORD-01,B1,1900,maia3-79m,3,b1d2,Nbd2,0.1943480670452118,0.9969533528201282,0.7095299435021231,525,34,441,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,4,h2h3,h3,0.06517945975065231,0.9969533528201282,0.7095299435021231,507,36,457,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,5,f1b5,Bb5,0.0519966259598732,0.9969533528201282,0.7095299435021231,509,31,460,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,6,c2c4,c4,0.030693665146827698,0.9969533528201282,0.7095299435021231,524,32,444,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,7,b1c3,Nc3,0.015414887107908726,0.9969533528201282,0.7095299435021231,530,33,437,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,8,d4c5,dxc5,0.013352691195905209,0.9969533528201282,0.7095299435021231,418,27,555,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,9,f1d3,Bd3,0.005674174055457115,0.9969533528201282,0.7095299435021231,505,32,463,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,10,a2a3,a3,0.002028153743594885,0.9969533528201282,0.7095299435021231,513,33,454,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,1,c2c3,c3,0.32580482959747314,0.9976175827905536,0.6930503876503702,519,46,435,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,2,f1e2,Be2,0.3221663534641266,0.9976175827905536,0.6930503876503702,515,45,440,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,3,b1d2,Nbd2,0.19195355474948883,0.9976175827905536,0.6930503876503702,526,43,431,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,4,f1b5,Bb5,0.05213180184364319,0.9976175827905536,0.6930503876503702,501,39,460,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,5,b1c3,Nc3,0.03201844543218613,0.9976175827905536,0.6930503876503702,533,41,426,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,6,h2h3,h3,0.02990316040813923,0.9976175827905536,0.6930503876503702,499,44,457,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,7,c2c4,c4,0.024541575461626053,0.9976175827905536,0.6930503876503702,524,40,436,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,8,d4c5,dxc5,0.01471205335110426,0.9976175827905536,0.6930503876503702,419,32,549,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,9,f1d3,Bd3,0.003057790920138359,0.9976175827905536,0.6930503876503702,497,40,463,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,2100,maia3-79m,10,a2a3,a3,0.0013280175626277924,0.9976175827905536,0.6930503876503702,504,42,454,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-02,B1,1100,maia3-79m,1,d1c2,Qc2,0.31799447536468506,0.9632458807900548,0.769676659507179,524,20,456,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-02,B1,1100,maia3-79m,2,b2b3,b3,0.24096280336380005,0.9632458807900548,0.769676659507179,527,19,454,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-02,B1,1100,maia3-79m,3,d1b3,Qb3,0.15289324522018433,0.9632458807900548,0.769676659507179,545,31,424,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-02,B1,1100,maia3-79m,4,b1d2,Nbd2,0.07635390758514404,0.9632458807900548,0.769676659507179,478,20,502,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-02,B1,1100,maia3-79m,5,f1d3,Bd3,0.07163242995738983,0.9632458807900548,0.769676659507179,460,17,523,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-02,B1,1100,maia3-79m,6,d1d2,Qd2,0.03158237040042877,0.9632458807900548,0.769676659507179,461,21,518,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-02,B1,1100,maia3-79m,7,b1a3,Na3,0.02654971368610859,0.9632458807900548,0.769676659507179,420,18,562,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
