line_id,move_uci,maia_policy_mean,maia_policy_max,maia_rank_min,lichess_count,lichess_total,lichess_frequency,in_lichess_test_expanded,in_maia_top10
JOB-06,d4d2,0.4155198658506076,0.5495180487632751,1,,,,False,True
JOB-06,d4d1,0.17865017428994176,0.2131765186786651,2,,,,False,True
JOB-06,d4d3,0.04161035719638067,0.0897870436310768,4,,,,False,True
JOB-06,d4f2,0.06391311374803381,0.0882894843816757,4,,,,False,True
JOB-06,d4c5,0.020731289444180765,0.0684347003698349,5,,,,False,True
JOB-06,d4e3,0.011827899123697182,0.0282954592257738,6,,,,False,True
JOB-06,e1c1,0.004477453709114317,0.0081722531467676,7,,,,False,True
JOB-06,c3b5,0.009791804147728967,0.0232041534036397,8,,,,False,True
JOB-06,e2e4,0.00461206447410705,0.0141891501843929,9,,,,False,True
JOB-09,d4d1,0.36119940876960754,0.428676038980484,1,,,,False,True
JOB-09,d4d2,0.3233881816267967,0.435376763343811,1,,,,False,True
JOB-09,d4a4,0.1864333053429921,0.2267593592405319,3,,,,False,True
JOB-09,d4d3,0.0654503926634788,0.1087783351540565,4,,,,False,True
JOB-09,d4e3,0.0271048301365226,0.0506404004991054,5,,,,False,True
JOB-09,d4c5,0.016478347747276186,0.0494790114462375,6,,,,False,True
JOB-09,c3b5,0.011754249814354452,0.0323453769087791,7,,,,False,True
JOB-09,e2e3,0.00187376529599225,0.0028781460132449,7,,,,False,True
JOB-09,e1c1,0.0012280337784128334,0.0025453721173107,9,,,,False,True
JOB-09,d4d5,0.00052664568065662,0.0007978721987456,10,,,,False,True
JOB-09,d4e5,0.0013624251587316,0.0013624251587316,10,,,,False,True
JOB-10,d4a4,0.25945908576250076,0.3264979422092438,1,,,,False,True
JOB-10,d4d2,0.3450244888663292,0.4098299741744995,1,,,,False,True
JOB-10,d4d1,0.25876477857430774,0.2973970472812652,2,,,,False,True
JOB-10,d4d3,0.05650576855987307,0.1006662845611572,4,,,,False,True
JOB-10,d4e3,0.03848691315700603,0.0677246674895286,5,,,,False,True
JOB-10,d4c5,0.019272933093210032,0.0608018673956394,6,,,,False,True
JOB-10,c3b5,0.008298228814965067,0.0235911514610052,7,,,,False,True
JOB-10,e1c1,0.00257079838775095,0.0040987688116729,7,,,,False,True
JOB-10,e2e3,0.002284694404806883,0.0034626335836946,7,,,,False,True
JOB-10,d4b4,0.0005937452078796,0.0005937452078796,10,,,,False,True
JOB-10,h4h5,0.00158749757101752,0.0025926211383193,10,,,,False,True
JOB-11,d4c5,0.5453599790732065,0.6784879565238953,1,,,,False,True
JOB-11,e2e3,0.29137351115544635,0.4571473300457001,1,,,,False,True
JOB-11,g1f3,0.08153470605611797,0.089084506034851,3,,,,False,True
JOB-11,c3b5,0.015976060569907167,0.0318346060812473,4,,,,False,True
JOB-11,d1d3,0.0144376798998564,0.0170752368867397,4,,,,False,True
JOB-11,e2e4,0.017888006909439914,0.0427425801753997,4,,,,False,True
JOB-11,d1d2,0.01318352390080685,0.0152769135311245,5,,,,False,True
JOB-11,f2f3,0.008843540214002084,0.011259009130299,7,,,,False,True
JOB-11,a2a3,0.00324471304193134,0.0042544649913907,9,,,,False,True
JOB-11,g2g3,0.003378579819885317,0.0039386828429996,9,,,,False,True
JOB-11,c3a4,0.0016996688209474,0.0016996688209474,10,,,,False,True
JOB-12,b2b3,0.31770750383536017,0.4249203205108642,1,,,,False,True
JOB-12,d4c5,0.28032987440625823,0.4892535209655761,1,,,,False,True
JOB-12,c2c3,0.10218244728942706,0.1884011775255203,2,,,,False,True
JOB-12,e2e3,0.07791238340238726,0.1118940412998199,3,,,,False,True
JOB-12,d1c1,0.0457444839800397,0.0661050602793693,4,,,,False,True
JOB-12,g1f3,0.038383670772115346,0.0507337860763073,4,,,,False,True
JOB-12,b1c3,0.023500119335949383,0.0446623973548412,5,,,,False,True
JOB-12,f4c1,0.04887426520387328,0.0574985891580581,5,,,,False,True
JOB-12,b1d2,0.018779434729367436,0.022745557129383,8,,,,False,True
JOB-12,b1a3,0.01862966129556295,0.0247080959379673,9,,,,False,True
JOB-12,f4b8,0.0153625654056668,0.0164951384067535,10,,,,False,True
JOB-13,e2c3,0.6054384956757227,0.8254490494728088,1,,,,False,True
JOB-13,b5c3,0.36724966019392014,0.4781069755554199,2,,,,False,True
JOB-13,c2c3,0.0224101589992642,0.053630705922842,3,,,,False,True
JOB-13,b2b4,0.0014568614133167665,0.0030457754619419,4,,,,False,True
JOB-13,d1d2,0.0031480615822752998,0.0108184348791837,4,,,,False,True
JOB-13,e1f1,0.0002967449836432333,0.0006247996352612,6,,,,False,True
LON-01,b1a3,0.08724222332239145,0.1232680976390838,3,8.0,16.0,0.5,True,True
LON-01,b1d2,0.5073211938142776,0.5569808483123779,1,7.0,20.0,0.35,True,True
LON-01,a2a3,0.07342270327111082,0.1140909269452095,3,6.0,25.0,0.24,True,True
