line_id,bias_code,elo,fen_after_key_move,history_uci,model,model_revision,rank,move_uci,policy_probability,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,status
LON-03,B3,2100,r1b1kb1r/1p2pppp/2n2n2/1p1p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-05,B3,1100,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/4PN2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-05,B3,1300,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/4PN2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-05,B3,1500,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/4PN2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-05,B3,1700,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/4PN2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-05,B3,1900,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/4PN2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-05,B3,2100,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/4PN2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-11,B3,1100,1rbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQk -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-11,B3,1300,1rbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQk -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-11,B3,1500,1rbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQk -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-11,B3,1700,1rbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQk -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-11,B3,1900,1rbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQk -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-11,B3,2100,1rbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQk -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-05,B3,1100,rnbqkb1r/pp2pp1p/5p2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-05,B3,1300,rnbqkb1r/pp2pp1p/5p2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-05,B3,1500,rnbqkb1r/pp2pp1p/5p2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-05,B3,1700,rnbqkb1r/pp2pp1p/5p2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-05,B3,1900,rnbqkb1r/pp2pp1p/5p2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-05,B3,2100,rnbqkb1r/pp2pp1p/5p2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-10,B4,1100,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2q1PN2/P2N1PPP/R2QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-10,B4,1300,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2q1PN2/P2N1PPP/R2QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-10,B4,1500,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2q1PN2/P2N1PPP/R2QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-10,B4,1700,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2q1PN2/P2N1PPP/R2QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-10,B4,1900,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2q1PN2/P2N1PPP/R2QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-10,B4,2100,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2q1PN2/P2N1PPP/R2QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-11,B4,1100,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2q1PN2/P2N1PPP/1R1QKB1R w Kkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-11,B4,1300,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2q1PN2/P2N1PPP/1R1QKB1R w Kkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-11,B4,1500,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2q1PN2/P2N1PPP/1R1QKB1R w Kkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-11,B4,1700,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2q1PN2/P2N1PPP/1R1QKB1R w Kkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
