line_id,move_uci,maia_policy_mean,maia_policy_max,maia_rank_min,lichess_count,lichess_total,lichess_frequency,in_lichess_test_expanded,in_maia_top10
JOB-12,f2f4,0.007858611992560284,0.0124846855178475,5.0,,,,False,True
JOB-12,b2b3,0.010306865752985016,0.0121682006865739,6.0,,,,False,True
JOB-12,g2g3,0.010868976358324234,0.0118206376209855,6.0,,,,False,True
JOB-12,d2d3,0.004319412517361283,0.005036455579102,8.0,,,,False,True
JOB-12,b1c3,0.004306716301167934,0.0049415295943617,9.0,,,,False,True
JOB-12,b2b4,0.004248541314154833,0.0044242879375815,9.0,,,,False,True
JOB-13,e2e4,0.6277017295360565,0.6771548986434937,1.0,,,,False,True
JOB-13,d2d4,0.2541923721631367,0.2935622632503509,2.0,,,,False,True
JOB-13,c2c4,0.02848213010778025,0.0476539246737957,3.0,,,,False,True
JOB-13,e2e3,0.013870153886576433,0.0208527259528636,3.0,,,,False,True
JOB-13,g1f3,0.027140466496348353,0.0481594055891037,3.0,,,,False,True
JOB-13,f2f4,0.007858611992560284,0.0124846855178475,5.0,,,,False,True
JOB-13,b2b3,0.010306865752985016,0.0121682006865739,6.0,,,,False,True
JOB-13,g2g3,0.010868976358324234,0.0118206376209855,6.0,,,,False,True
JOB-13,d2d3,0.004319412517361283,0.005036455579102,8.0,,,,False,True
JOB-13,b1c3,0.004306716301167934,0.0049415295943617,9.0,,,,False,True
JOB-13,b2b4,0.004248541314154833,0.0044242879375815,9.0,,,,False,True
LON-01,b1a3,,,,8.0,16.0,0.5,True,False
LON-01,b1d2,,,,7.0,20.0,0.35,True,False
LON-01,a2a3,,,,6.0,25.0,0.24,True,False
LON-01,f3e5,,,,1.0,5.0,0.2,True,False
LON-01,f1e2,,,,3.0,21.0,0.14285714285714285,True,False
LON-01,e2e4,0.6277017295360565,0.6771548986434937,1.0,,,,False,True
LON-01,d2d4,0.2541923721631367,0.2935622632503509,2.0,,,,False,True
LON-01,c2c4,0.02848213010778025,0.0476539246737957,3.0,,,,False,True
LON-01,e2e3,0.013870153886576433,0.0208527259528636,3.0,,,,False,True
LON-01,g1f3,0.027140466496348353,0.0481594055891037,3.0,,,,False,True
LON-01,f2f4,0.007858611992560284,0.0124846855178475,5.0,,,,False,True
LON-01,b2b3,0.010306865752985016,0.0121682006865739,6.0,,,,False,True
LON-01,g2g3,0.010868976358324234,0.0118206376209855,6.0,,,,False,True
LON-01,d2d3,0.004319412517361283,0.005036455579102,8.0,,,,False,True
LON-01,b1c3,0.004306716301167934,0.0049415295943617,9.0,,,,False,True
LON-01,b2b4,0.004248541314154833,0.0044242879375815,9.0,,,,False,True
LON-02,c2d2,,,,1.0,1.0,1.0,True,False
LON-02,c2c1,,,,13.0,14.0,0.9285714285714286,True,False
LON-02,c2f5,,,,1.0,11.0,0.09090909090909091,True,False
LON-02,e2e4,0.6277017295360565,0.6771548986434937,1.0,,,,False,True
LON-02,d2d4,0.2541923721631367,0.2935622632503509,2.0,,,,False,True
LON-02,c2c4,0.02848213010778025,0.0476539246737957,3.0,,,,False,True
LON-02,e2e3,0.013870153886576433,0.0208527259528636,3.0,,,,False,True
LON-02,g1f3,0.027140466496348353,0.0481594055891037,3.0,,,,False,True
LON-02,f2f4,0.007858611992560284,0.0124846855178475,5.0,,,,False,True
LON-02,b2b3,0.010306865752985016,0.0121682006865739,6.0,,,,False,True
LON-02,g2g3,0.010868976358324234,0.0118206376209855,6.0,,,,False,True
LON-02,d2d3,0.004319412517361283,0.005036455579102,8.0,,,,False,True
