line_id,chapter,ply,fen_before,move_uci,move_san,rank_top8,best_eval_white_cp,candidate_eval_white_cp,loss_for_black_cp,grade,engine,nodes_best
ORD-02,Londres — ordres de coups,10,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 2 5,d8b6,Qb6,1,-19,-19,0,A,Stockfish 18 WASM,20000
ORD-03,Londres — ordres de coups,6,rnbqkbnr/pp2pppp/8/2pp4/3PPB2/8/PPP2PPP/RN1QKBNR b KQkq - 0 3,d5e4,dxe4,1,-52,-52,0,A,Stockfish 18 WASM,20000
ORD-03,Londres — ordres de coups,8,rnbqkbnr/pp2pppp/8/2pP4/4pB2/8/PPP2PPP/RN1QKBNR b KQkq - 0 4,g8f6,Nf6,1,-66,-66,0,A,Stockfish 18 WASM,20000
ORD-04,Londres — ordres de coups,4,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,c7c5,c5,3,15,17,2,A,Stockfish 18 WASM,20000
ORD-04,Londres — ordres de coups,6,rnbqkbnr/pp2pppp/8/2Pp4/5B2/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,e7e6,e6,1,-16,-16,0,A,Stockfish 18 WASM,20000
ORD-05,Londres — ordres de coups,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 0 4,b8c6,Nc6,1,-7,-7,0,A,Stockfish 18 WASM,20000
ORD-05,Londres — ordres de coups,10,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,d8b6,Qb6,1,-34,-34,0,A,Stockfish 18 WASM,20000
ORD-06,Londres — ordres de coups,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/5N2/PPPNPPPP/R2QKB1R b KQkq - 1 4,c5d4,cxd4,1,-19,-19,0,A,Stockfish 18 WASM,20000
ORD-06,Londres — ordres de coups,10,rnbqkb1r/pp2pppp/5n2/3p4/3N1B2/8/PPPNPPPP/R2QKB1R b KQkq - 0 5,b8d7,Nbd7,1,-57,-57,0,A,Stockfish 18 WASM,20000
ORD-07,Londres — ordres de coups,8,rnbqkb1r/pp2pppp/5n2/2Pp4/5B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 0 4,b8c6,Nc6,2,-8,34,42,B,Stockfish 18 WASM,20000
ORD-07,Londres — ordres de coups,10,r1bqkb1r/pp2pppp/2n2n2/2Pp4/5B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 5,e7e6,e6,1,4,4,0,A,Stockfish 18 WASM,20000
ORD-08,Londres — ordres de coups,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,d8b6,Qb6,5,7,53,46,B,Stockfish 18 WASM,20000
ORD-08,Londres — ordres de coups,10,rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq - 2 5,a7a6,a6,1,25,25,0,A,Stockfish 18 WASM,20000
ORD-09,Londres — ordres de coups,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B1P/5N2/PPP1PPP1/RN1QKB1R b KQkq - 0 4,c5d4,cxd4,1,-90,-90,0,A,Stockfish 18 WASM,20000
ORD-09,Londres — ordres de coups,10,rnbqkb1r/pp2pppp/5n2/3p4/3N1B1P/8/PPP1PPP1/RN1QKB1R b KQkq - 0 5,b8d7,Nbd7,1,-109,-109,0,A,Stockfish 18 WASM,20000
